ID,VIDEO,LABEL,CATEGORY
101,D0056N.mp4,ngày gia đình Việt Nam 28/6,Cụm từ và từ nâng cao
102,D0056T.mp4,ngày gia đình Việt Nam 28/6,Cụm từ và từ nâng cao
103,D0057B.mp4,ngày thầy thuốc Việt Nam,Cụm từ và từ nâng cao
104,D0057N.mp4,ngày thầy thuốc Việt Nam,Cụm từ và từ nâng cao
105,D0058B.mp4,ngày thành lập quân đội nhân dân Việt Nam,Cụm từ và từ nâng cao
106,D0057T.mp4,ngày thầy thuốc Việt Nam,Cụm từ và từ nâng cao
107,D0058N.mp4,ngày thành lập quân đội nhân dân Việt Nam,Cụm từ và từ nâng cao
108,D0058T.mp4,ngày thành lập quân đội nhân dân Việt Nam,Cụm từ và từ nâng cao
109,D0059.mp4,con cá sấu,Cụm từ và từ nâng cao
110,D0060B.mp4,nhầm,Cụm từ và từ nâng cao
111,D0060N.mp4,nhầm,Cụm từ và từ nâng cao
112,D0060T.mp4,nhầm,Cụm từ và từ nâng cao
113,D0061.mp4,đồng bằng sông Cửu Long,Cụm từ và từ nâng cao
114,D0062.mp4,đồng bằng sông Hồng,Cụm từ và từ nâng cao
115,D0063.mp4,đồng bằng duyên hải miền Trung,Cụm từ và từ nâng cao
116,D0065B.mp4,mách,Cụm từ và từ nâng cao
117,D0064.mp4,buồn thảm,Cụm từ và từ nâng cao
118,D0065N.mp4,mách,Cụm từ và từ nâng cao
119,D0065T.mp4,mách,Cụm từ và từ nâng cao
120,D0066B.mp4,vô duyên,Cụm từ và từ nâng cao
121,D0066N.mp4,vô duyên,Cụm từ và từ nâng cao
122,D0066T.mp4,vô duyên,Cụm từ và từ nâng cao
123,D0067.mp4,ti hí mắt,Cụm từ và từ nâng cao
124,D0068.mp4,kịp thời,Cụm từ và từ nâng cao
125,D0069.mp4,bối rối,Cụm từ và từ nâng cao
126,D0070.mp4,hú vía,Cụm từ và từ nâng cao
127,D0071.mp4,suỵt,Cụm từ và từ nâng cao
128,D0072B.mp4,suýt,Cụm từ và từ nâng cao
129,D0072N.mp4,suýt,Cụm từ và từ nâng cao
130,D0072T.mp4,suýt,Cụm từ và từ nâng cao
131,D0074.mp4,cá kiếm,Cụm từ và từ nâng cao
132,D0075.mp4,đuôi cá,Cụm từ và từ nâng cao
133,D0076.mp4,đuôi chuột,Cụm từ và từ nâng cao
134,D0077B.mp4,bít tết (bò),Cụm từ và từ nâng cao
135,D0077N.mp4,bít tết (bò),Cụm từ và từ nâng cao
136,D0077T.mp4,bít tết (bò),Cụm từ và từ nâng cao
137,D0078.mp4,súp,Cụm từ và từ nâng cao
138,D0080B.mp4,mỳ tôm,Cụm từ và từ nâng cao
139,D0079.mp4,súp lơ,Cụm từ và từ nâng cao
140,D0080N.mp4,mỳ tôm,Cụm từ và từ nâng cao
141,D0081B.mp4,mỳ vằn thắn,Cụm từ và từ nâng cao
142,D0080T.mp4,mỳ tôm,Cụm từ và từ nâng cao
143,D0082B.mp4,mỳ ý,Cụm từ và từ nâng cao
144,D0082T.mp4,mỳ ý,Cụm từ và từ nâng cao
145,D0082N.mp4,mỳ ý,Cụm từ và từ nâng cao
146,D0083.mp4,bún mắm,Cụm từ và từ nâng cao
147,D0085.mp4,bún ngan,Cụm từ và từ nâng cao
148,D0084.mp4,bún chả,Cụm từ và từ nâng cao
149,D0086.mp4,bún ốc,Cụm từ và từ nâng cao
150,D0088.mp4,xôi gấc,Cụm từ và từ nâng cao
151,D0087B.mp4,bún đậu,Cụm từ và từ nâng cao
152,D0090.mp4,cháo sườn,Cụm từ và từ nâng cao
153,D0089.mp4,xôi gà,Cụm từ và từ nâng cao
154,D0091.mp4,cơm rang,Cụm từ và từ nâng cao
155,D0092.mp4,nhấn mạnh,Cụm từ và từ nâng cao
156,D0094.mp4,thí nghiệm,Cụm từ và từ nâng cao
157,D0093.mp4,đạo diễn,Cụm từ và từ nâng cao
158,D0095.mp4,cắm trại,Cụm từ và từ nâng cao
159,D0096.mp4,khả năng,Cụm từ và từ nâng cao
160,D0097.mp4,kỹ năng,Cụm từ và từ nâng cao
161,D0100.mp4,khờ dại,Cụm từ và từ nâng cao
162,D0099.mp4,cung cấp,Cụm từ và từ nâng cao
163,D0098.mp4,có … không?,Cụm từ và từ nâng cao
164,D0101.mp4,cực khổ,Cụm từ và từ nâng cao
165,D0102.mp4,may mắn,Cụm từ và từ nâng cao
166,D0103B.mp4,từ chối,Cụm từ và từ nâng cao
167,D0103T.mp4,từ chối,Cụm từ và từ nâng cao
168,D0103N.mp4,từ chối,Cụm từ và từ nâng cao
169,D0104.mp4,nấu nướng,Cụm từ và từ nâng cao
170,D0107.mp4,rực rỡ,Cụm từ và từ nâng cao
171,D0105.mp4,xoa đầu,Cụm từ và từ nâng cao
172,D0108B.mp4,thiệp sinh nhật,Cụm từ và từ nâng cao
173,D0108N.mp4,thiệp sinh nhật,Cụm từ và từ nâng cao
174,D0108T.mp4,thiệp sinh nhật,Cụm từ và từ nâng cao
175,D0109B.mp4,không quen,Cụm từ và từ nâng cao
176,D0109N.mp4,không quen,Cụm từ và từ nâng cao
177,D0109T.mp4,không quen,Cụm từ và từ nâng cao
178,D0110.mp4,bánh tráng,Cụm từ và từ nâng cao
179,D0111B.mp4,tương ớt,Cụm từ và từ nâng cao
180,D0111T.mp4,tương ớt,Cụm từ và từ nâng cao
181,D0111N.mp4,tương ớt,Cụm từ và từ nâng cao
182,D0112.mp4,không có,Cụm từ và từ nâng cao
183,D0113.mp4,không có chi,Cụm từ và từ nâng cao
184,D0114.mp4,dân chủ,Cụm từ và từ nâng cao
185,D0115.mp4,xử lý,Cụm từ và từ nâng cao
186,D0116.mp4,đất ruộng,Cụm từ và từ nâng cao
187,D0117.mp4,tinh mắt,Cụm từ và từ nâng cao
188,D0118.mp4,cũng vậy/cũng thế,Cụm từ và từ nâng cao
189,D0119B.mp4,đúng không?,Cụm từ và từ nâng cao
190,D0119N.mp4,đúng không?,Cụm từ và từ nâng cao
191,D0119T.mp4,đúng không?,Cụm từ và từ nâng cao
192,D0120B.mp4,phải không?,Cụm từ và từ nâng cao
193,D0120N.mp4,phải không?,Cụm từ và từ nâng cao
194,D0120T.mp4,phải không?,Cụm từ và từ nâng cao
195,D0121.mp4,còn bạn?,Cụm từ và từ nâng cao
196,D0122B.mp4,cần không?,Cụm từ và từ nâng cao
197,D0122N.mp4,cần không?,Cụm từ và từ nâng cao
198,D0122T.mp4,cần không?,Cụm từ và từ nâng cao
199,D0123B.mp4,nên không?,Cụm từ và từ nâng cao
200,D0123N.mp4,nên không?,Cụm từ và từ nâng cao
201,D0123T.mp4,nên không?,Cụm từ và từ nâng cao
202,D0124.mp4,kia,Cụm từ và từ nâng cao
203,D0125.mp4,nóng tính,Cụm từ và từ nâng cao
204,D0126.mp4,sợ không?,Cụm từ và từ nâng cao
205,D0127.mp4,căm thù,Cụm từ và từ nâng cao
206,D0128B.mp4,đẹp không? (người),Cụm từ và từ nâng cao
207,D0128T.mp4,đẹp không? (người),Cụm từ và từ nâng cao
208,D0128N.mp4,đẹp không? (người),Cụm từ và từ nâng cao
209,D0129B.mp4,không đẹp,Cụm từ và từ nâng cao
210,D0129T.mp4,không đẹp,Cụm từ và từ nâng cao
211,D0129N.mp4,không đẹp,Cụm từ và từ nâng cao
212,D0130.mp4,chúng tôi (2 người) (đại từ),Cụm từ và từ nâng cao
213,D0131.mp4,chúng tôi (3 người) (đại từ),Cụm từ và từ nâng cao
214,D0132.mp4,chúng tôi (4 người) (đại từ),Cụm từ và từ nâng cao
215,D0133.mp4,chúng tôi (5 người) (đại từ),Cụm từ và từ nâng cao
216,D0135.mp4,các bạn (2 người),Cụm từ và từ nâng cao
217,D0134.mp4,chúng tôi (đại từ),Cụm từ và từ nâng cao
218,D0136.mp4,họ (2 người) (đại từ),Cụm từ và từ nâng cao
219,D0138.mp4,bạn yêu tôi,Cụm từ và từ nâng cao
220,D0137.mp4,họ (đại từ),Cụm từ và từ nâng cao
221,D0139.mp4,tôi yêu bạn ấy,Cụm từ và từ nâng cao
222,D0140.mp4,bạn ấy yêu tôi,Cụm từ và từ nâng cao
223,D0141.mp4,bạn yêu bạn ấy,Cụm từ và từ nâng cao
224,D0142.mp4,bạn ấy yêu bạn,Cụm từ và từ nâng cao
225,D0143B.mp4,"anh hai, anh cả",Cụm từ và từ nâng cao
226,D0143N.mp4,"anh hai, anh cả",Cụm từ và từ nâng cao
227,D0143T.mp4,"anh hai, anh cả",Cụm từ và từ nâng cao
228,D0144B.mp4,"chị hai, chị cả",Cụm từ và từ nâng cao
229,D0144N.mp4,"chị hai, chị cả",Cụm từ và từ nâng cao
230,D0144T.mp4,"chị hai, chị cả",Cụm từ và từ nâng cao
231,D0146.mp4,một là,Cụm từ và từ nâng cao
232,D0145.mp4,quả bầu hồ lô,Cụm từ và từ nâng cao
233,D0147.mp4,hai là,Cụm từ và từ nâng cao
234,D0149.mp4,bốn là,Cụm từ và từ nâng cao
235,D0148.mp4,ba là,Cụm từ và từ nâng cao
236,D0150.mp4,năm là,Cụm từ và từ nâng cao
237,D0152B.mp4,chị họ,Cụm từ và từ nâng cao
238,D0152N.mp4,chị họ,Cụm từ và từ nâng cao
239,D0152T.mp4,chị họ,Cụm từ và từ nâng cao
240,D0155B.mp4,sống sót,Cụm từ và từ nâng cao
241,D0155N.mp4,sống sót,Cụm từ và từ nâng cao
242,D0156.mp4,thường xuyên,Cụm từ và từ nâng cao
243,D0156B.mp4,thường xuyên,Cụm từ và từ nâng cao
244,D0155T.mp4,sống sót,Cụm từ và từ nâng cao
245,D0156T.mp4,thường xuyên,Cụm từ và từ nâng cao
246,D0156N.mp4,thường xuyên,Cụm từ và từ nâng cao
247,D0157B.mp4,đi dạo,Cụm từ và từ nâng cao
248,D0158N.mp4,về (Sài Gòn),Cụm từ và từ nâng cao
249,D0157T.mp4,đi dạo,Cụm từ và từ nâng cao
250,D0157N.mp4,đi dạo,Cụm từ và từ nâng cao
251,D0159B.mp4,về 2 (Miền Bắc),Cụm từ và từ nâng cao
252,D0159T.mp4,về 2 (Miền Bắc),Cụm từ và từ nâng cao
253,D0160.mp4,về 3 (đi về),Cụm từ và từ nâng cao
254,D0161.mp4,về 4 (từ nơi khác về),Cụm từ và từ nâng cao
255,D0163B.mp4,hẹn,Cụm từ và từ nâng cao
256,D0162.mp4,về 5 (về nhà),Cụm từ và từ nâng cao
257,D0163N.mp4,hẹn,Cụm từ và từ nâng cao
258,D0164.mp4,quyến luyến,Cụm từ và từ nâng cao
259,D0163T.mp4,hẹn,Cụm từ và từ nâng cao
260,D0165B.mp4,hứa,Cụm từ và từ nâng cao
261,D0165N.mp4,hứa,Cụm từ và từ nâng cao
262,D0165T.mp4,hứa,Cụm từ và từ nâng cao
263,D0166.mp4,cùng / với (giới từ),Cụm từ và từ nâng cao
264,D0167.mp4,lâu,Cụm từ và từ nâng cao
265,D0167B.mp4,lâu,Cụm từ và từ nâng cao
266,D0168B.mp4,vẫn,Cụm từ và từ nâng cao
267,D0168N.mp4,vẫn,Cụm từ và từ nâng cao
268,D0168T.mp4,vẫn,Cụm từ và từ nâng cao
269,D0169B.mp4,mỗi ngày,Cụm từ và từ nâng cao
270,D0169N.mp4,mỗi ngày,Cụm từ và từ nâng cao
271,D0169T.mp4,mỗi ngày,Cụm từ và từ nâng cao
272,D0170B.mp4,hàng ngày,Cụm từ và từ nâng cao
273,D0170N.mp4,hàng ngày,Cụm từ và từ nâng cao
274,D0170T.mp4,hàng ngày,Cụm từ và từ nâng cao
275,D0171.mp4,ăn vú sữa (bằng thìa),Cụm từ và từ nâng cao
276,D0172.mp4,ăn vú sữa,Cụm từ và từ nâng cao
277,D0173.mp4,hôi,Cụm từ và từ nâng cao
278,D0174.mp4,trông nhà,Cụm từ và từ nâng cao
279,D0175.mp4,chạy (động vật),Cụm từ và từ nâng cao
280,D0176.mp4,xe container,Cụm từ và từ nâng cao
281,D0177.mp4,bay nhanh (máy bay),Cụm từ và từ nâng cao
282,D0178.mp4,chậm chạp,Cụm từ và từ nâng cao
283,D0179.mp4,ngừng lại,Cụm từ và từ nâng cao
284,D0180.mp4,5 > 3 (Toán học),Cụm từ và từ nâng cao
285,D0181.mp4,2 < 6 (Toán học),Cụm từ và từ nâng cao
286,D0182B.mp4,cung điện,Cụm từ và từ nâng cao
287,D0182T.mp4,cung điện,Cụm từ và từ nâng cao
288,D0182N.mp4,cung điện,Cụm từ và từ nâng cao
289,D0184.mp4,một ít/ một chút,Cụm từ và từ nâng cao
290,D0183.mp4,dừng lại,Cụm từ và từ nâng cao
291,D0185.mp4,kẹt xe/tắc đường,Cụm từ và từ nâng cao
292,D0186.mp4,suy ra (Toán học),Cụm từ và từ nâng cao
293,D0188B.mp4,hoặc,Cụm từ và từ nâng cao
294,D0187.mp4,thì thầm,Cụm từ và từ nâng cao
295,D0188N.mp4,hoặc,Cụm từ và từ nâng cao
296,D0188T.mp4,hoặc,Cụm từ và từ nâng cao
297,D0189B.mp4,muốn không?,Cụm từ và từ nâng cao
298,D0189N.mp4,muốn không?,Cụm từ và từ nâng cao
299,D0189T.mp4,muốn không?,Cụm từ và từ nâng cao
300,D0190B.mp4,không muốn,Cụm từ và từ nâng cao
301,D0190N.mp4,không muốn,Cụm từ và từ nâng cao
302,D0190T.mp4,không muốn,Cụm từ và từ nâng cao
303,D0191.mp4,sa mạc,Cụm từ và từ nâng cao
304,D0193.mp4,núi cao,Cụm từ và từ nâng cao
305,D0194.mp4,núi thấp,Cụm từ và từ nâng cao
306,D0195B.mp4,đẹp không?,Cụm từ và từ nâng cao
307,D0195N.mp4,đẹp không?,Cụm từ và từ nâng cao
308,D0195T.mp4,đẹp không?,Cụm từ và từ nâng cao
309,D0196.mp4,xem đã,Cụm từ và từ nâng cao
310,D0198.mp4,không ngon,Cụm từ và từ nâng cao
311,D0197.mp4,mồ hôi nhễ nhại,Cụm từ và từ nâng cao
312,D0199.mp4,hài lòng,Cụm từ và từ nâng cao
313,D0201.mp4,ngập ngừng,Cụm từ và từ nâng cao
314,D0202.mp4,nói ngập ngừng,Cụm từ và từ nâng cao
315,D0200.mp4,má hồng,Cụm từ và từ nâng cao
316,D0203.mp4,Võ Thị Sáu,Cụm từ và từ nâng cao
317,D0204.mp4,mít tinh,Cụm từ và từ nâng cao
318,D0205.mp4,sụp đổ,Cụm từ và từ nâng cao
319,D0206B.mp4,thiếu thốn,Cụm từ và từ nâng cao
320,D0206N.mp4,thiếu thốn,Cụm từ và từ nâng cao
321,D0206T.mp4,thiếu thốn,Cụm từ và từ nâng cao
322,D0207.mp4,xuyên Việt,Cụm từ và từ nâng cao
323,D0209B.mp4,dám làm,Cụm từ và từ nâng cao
324,D0208.mp4,khổ công,Cụm từ và từ nâng cao
325,D0209N.mp4,dám làm,Cụm từ và từ nâng cao
326,D0210B.mp4,không dám,Cụm từ và từ nâng cao
327,D0209T.mp4,dám làm,Cụm từ và từ nâng cao
328,D0210N.mp4,không dám,Cụm từ và từ nâng cao
329,D0210T.mp4,không dám,Cụm từ và từ nâng cao
330,D0211.mp4,phiền hà,Cụm từ và từ nâng cao
331,D0213B.mp4,ung thư,Cụm từ và từ nâng cao
332,D0212.mp4,đèn ông sao,Cụm từ và từ nâng cao
333,D0213N.mp4,ung thư,Cụm từ và từ nâng cao
334,D0214N.mp4,phó hiệu trưởng,Cụm từ và từ nâng cao
335,D0214B.mp4,phó hiệu trưởng,Cụm từ và từ nâng cao
336,D0213T.mp4,ung thư,Cụm từ và từ nâng cao
337,D0214T.mp4,phó hiệu trưởng,Cụm từ và từ nâng cao
338,D0216.mp4,vòng nguyệt quế,Cụm từ và từ nâng cao
339,D0215.mp4,Ô-lim-píc,Cụm từ và từ nâng cao
340,D0217.mp4,hữu nghị,Cụm từ và từ nâng cao
341,D0219.mp4,mũi tên,Cụm từ và từ nâng cao
342,D0218.mp4,bắn cung tên,Cụm từ và từ nâng cao
343,D0220.mp4,cung tên,Cụm từ và từ nâng cao
344,D0221.mp4,tận số,Cụm từ và từ nâng cao
345,D0222.mp4,nứt nẻ (ruộng),Cụm từ và từ nâng cao
346,D0223B.mp4,Mã Lai (nước Ma-lai-xi-a),Cụm từ và từ nâng cao
347,D0223T.mp4,Mã Lai (nước Ma-lai-xi-a),Cụm từ và từ nâng cao
348,D0223N.mp4,Mã Lai (nước Ma-lai-xi-a),Cụm từ và từ nâng cao
349,D0224.mp4,số La Mã (Toán học),Cụm từ và từ nâng cao
350,D0225.mp4,Long Vương,Cụm từ và từ nâng cao
351,D0226.mp4,đàng hoàng,Cụm từ và từ nâng cao
352,D0227.mp4,phân vân,Cụm từ và từ nâng cao
353,D0228.mp4,lau miệng,Cụm từ và từ nâng cao
354,D0229.mp4,chó cắn,Cụm từ và từ nâng cao
355,D0230.mp4,mèo cào,Cụm từ và từ nâng cao
356,D0231.mp4,quan hệ từ,Cụm từ và từ nâng cao
357,D0232.mp4,yêu nước Việt Nam,Cụm từ và từ nâng cao
358,D0233.mp4,quan (chức vụ),Cụm từ và từ nâng cao
359,D0234.mp4,đi tuần,Cụm từ và từ nâng cao
360,D0235.mp4,vỗ về,Cụm từ và từ nâng cao
361,D0237.mp4,chuyện nhỏ,Cụm từ và từ nâng cao
362,D0236.mp4,hốt hoảng,Cụm từ và từ nâng cao
363,D0238.mp4,chuyện lớn,Cụm từ và từ nâng cao
364,D0239.mp4,cái gùi,Cụm từ và từ nâng cao
365,D0240.mp4,hùng vĩ,Cụm từ và từ nâng cao
366,D0241.mp4,bất khuất,Cụm từ và từ nâng cao
367,D0242B.mp4,nhưng,Cụm từ và từ nâng cao
368,D0242N.mp4,nhưng,Cụm từ và từ nâng cao
369,D0242T.mp4,nhưng,Cụm từ và từ nâng cao
370,D0243B.mp4,hay là (hoặc là),Cụm từ và từ nâng cao
371,D0243N.mp4,hay là (hoặc là),Cụm từ và từ nâng cao
372,D0243T.mp4,hay là (hoặc là),Cụm từ và từ nâng cao
373,D0244.mp4,Thăng Long,Cụm từ và từ nâng cao
374,D0245.mp4,dãy núi Hoàng Liên Sơn,Cụm từ và từ nâng cao
375,D0246.mp4,quanh năm,Cụm từ và từ nâng cao
376,D0247.mp4,gấp đôi,Cụm từ và từ nâng cao
377,D0248.mp4,gấp ba,Cụm từ và từ nâng cao
378,D0249N.mp4,chia đôi,Cụm từ và từ nâng cao
379,D0249B.mp4,chia đôi,Cụm từ và từ nâng cao
380,D0249T.mp4,chia đôi,Cụm từ và từ nâng cao
381,D0250B.mp4,chia ba,Cụm từ và từ nâng cao
382,D0250N.mp4,chia ba,Cụm từ và từ nâng cao
383,D0250T.mp4,chia ba,Cụm từ và từ nâng cao
384,D0251.mp4,"đi lạc (đường, rừng..)",Cụm từ và từ nâng cao
385,D0252.mp4,mất (chết) (chỉ người),Cụm từ và từ nâng cao
386,D0253.mp4,đại sứ,Cụm từ và từ nâng cao
387,D0255.mp4,giám sát,Cụm từ và từ nâng cao
388,D0254.mp4,cảnh giác,Cụm từ và từ nâng cao
389,D0256.mp4,quan sát,Cụm từ và từ nâng cao
390,D0257.mp4,ăn vụng,Cụm từ và từ nâng cao
391,D0258.mp4,xảy ra,Cụm từ và từ nâng cao
392,D0259.mp4,dự án,Cụm từ và từ nâng cao
393,D0260.mp4,đầu tư,Cụm từ và từ nâng cao
394,D0261.mp4,năn nỉ,Cụm từ và từ nâng cao
395,D0262.mp4,háo hức,Cụm từ và từ nâng cao
396,D0263.mp4,rắc rối,Cụm từ và từ nâng cao
397,D0264.mp4,tải về,Cụm từ và từ nâng cao
398,D0265.mp4,nhõng nhẽo,Cụm từ và từ nâng cao
399,D0266.mp4,hên/gặp may,Cụm từ và từ nâng cao
400,D0267B.mp4,đen đủi,Cụm từ và từ nâng cao
401,D0268N.mp4,xui xẻo,Cụm từ và từ nâng cao
402,D0269.mp4,long lanh (mắt),Cụm từ và từ nâng cao
403,D0270B.mp4,lạnh lùng,Cụm từ và từ nâng cao
404,D0270N.mp4,lạnh lùng,Cụm từ và từ nâng cao
405,D0270T.mp4,lạnh lùng,Cụm từ và từ nâng cao
406,D0271B.mp4,dỗi,Cụm từ và từ nâng cao
407,D0271N.mp4,dỗi,Cụm từ và từ nâng cao
